4 689841.0 262114.0 743564.0 681933.0 330639.0 815911.0 272212.0 406128.0  0.013820406402694364
13  827823.0 235157.0 617231.0 399067.0 606574.0 574455.0 369091.0 481230.0 670929.0 862765.0 507818.0 175610.0 320602.0 161521.0 168295.0 347724.0 141004.0 557993.0 417799.0 787001.0 244654.0 847642.0 858527.0 543111.0 823421.0 731145.0  0.015029557931955815
13  827272.0 235667.0 858119.0 543291.0 612836.0 481420.0 822688.0 730558.0 670929.0 862765.0 139682.0 558123.0 337565.0 562157.0 167856.0 347812.0 400011.0 404474.0 320602.0 161521.0 508062.0 176011.0 244654.0 847642.0 418183.0 786581.0  0.013184360169369184
13  827823.0 235157.0 858527.0 543111.0 369091.0 481230.0 823421.0 731145.0 670929.0 862765.0 320602.0 161521.0 507818.0 175610.0 168295.0 347724.0 141004.0 557993.0 244654.0 847642.0 417799.0 787001.0 606574.0 574455.0 617231.0 399067.0  0.015029557931955815
13  670929.0 862765.0 141004.0 557993.0 369091.0 481230.0 168295.0 347724.0 827823.0 235157.0 320602.0 161521.0 507818.0 175610.0 244654.0 847642.0 417799.0 787001.0 858527.0 543111.0 823421.0 731145.0 606574.0 574455.0 617231.0 399067.0  0.015029557931955815
13  827823.0 235157.0 606574.0 574455.0 617231.0 399067.0 369091.0 481230.0 670929.0 862765.0 320602.0 161521.0 507818.0 175610.0 168295.0 347724.0 141004.0 557993.0 244654.0 847642.0 417799.0 787001.0 858527.0 543111.0 823421.0 731145.0  0.015029557931955815
4  741567.0 684713.0 754863.0 294012.0 280979.0 687372.0 348842.0 273754.0  0.012751552299751105
13  827823.0 235157.0 858527.0 543111.0 417799.0 787001.0 244654.0 847642.0 369091.0 481230.0 507818.0 175610.0 320602.0 161521.0 168295.0 347724.0 141004.0 557993.0 823421.0 731145.0 670929.0 862765.0 617231.0 399067.0 606574.0 574455.0  0.015029557931955815
13  827823.0 235157.0 858527.0 543111.0 244654.0 847642.0 417799.0 787001.0 168295.0 347724.0 141004.0 557993.0 369091.0 481230.0 320602.0 161521.0 507818.0 175610.0 617231.0 399067.0 606574.0 574455.0 823421.0 731145.0 670929.0 862765.0  0.015029557931955815
13  827823.0 235157.0 244654.0 847642.0 369091.0 481230.0 417799.0 787001.0 670929.0 862765.0 507818.0 175610.0 320602.0 161521.0 141004.0 557993.0 168295.0 347724.0 823421.0 731145.0 858527.0 543111.0 606574.0 574455.0 617231.0 399067.0  0.015029557931955815
13  827823.0 235157.0 858527.0 543111.0 417799.0 787001.0 244654.0 847642.0 369091.0 481230.0 507818.0 175610.0 320602.0 161521.0 141004.0 557993.0 168295.0 347724.0 823421.0 731145.0 670929.0 862765.0 606574.0 574455.0 617231.0 399067.0  0.015029557931955815
4  754863.0 294012.0 741567.0 684713.0 348842.0 273754.0 280979.0 687372.0  0.012751552299751105
13  827272.0 235667.0 612836.0 481420.0 670929.0 862765.0 418183.0 786581.0 244654.0 847642.0 139395.0 558143.0 337264.0 562123.0 400011.0 404474.0 167856.0 347812.0 508062.0 176011.0 320602.0 161521.0 822688.0 730558.0 858119.0 543291.0  0.013184360169369184
13  827823.0 235157.0 858527.0 543111.0 369091.0 481230.0 670929.0 862765.0 823421.0 731145.0 320602.0 161521.0 507818.0 175610.0 141004.0 557993.0 168295.0 347724.0 417799.0 787001.0 244654.0 847642.0 617231.0 399067.0 606574.0 574455.0  0.015029557931955815
